Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
39	43	FN58	0.0	521.7	24.1	-0.618076221788	1.0
33	31	FN32	0.0	FN40	0.0	None	None
31	72	FN40	0.0	FN53	0.0	None	None
22	29	FN39	0.0	401.55	68.55	0.515867308357	1.0
30	41	442.05	72.85	FN44	0.0	-0.832541465729	1.0
22	61	FN39	0.0	FN36	0.0	None	None
33	45	FN32	0.0	480.775	56.5518512075	0.516723303007	1.0
30	22	442.05	72.85	FN39	0.0	-0.164447743112	1.0
30	50	442.05	72.85	498.3	0.0	-0.4457920747	1.0
22	47	FN39	0.0	590.166666667	42.6619528646	-2.11105745635	1.0
41	43	FN44	0.0	521.7	24.1	0.608493644706	1.0
43	36	521.7	24.1	FN54	0.0	2.56813065797	1.0
59	33	FN50	0.0	FN32	0.0	None	None
31	60	FN40	0.0	FN60	0.0	None	None
31	36	FN40	0.0	FN54	0.0	None	None
41	72	FN44	0.0	FN53	0.0	None	None
59	61	FN50	0.0	FN36	0.0	None	None
41	31	FN44	0.0	FN40	0.0	None	None
60	72	FN60	0.0	FN53	0.0	None	None
45	42	480.775	56.5518512075	494.95	49.55	-0.246037217096	1.0
59	45	FN50	0.0	480.775	56.5518512075	-1.56934585665	1.0
47	43	590.166666667	42.6619528646	521.7	24.1	1.59640895078	1.0
22	49	FN39	0.0	FN46	0.0	None	None
31	61	FN40	0.0	FN36	0.0	None	None
42	50	494.95	49.55	498.3	0.0	-0.0390337719836	1.0
49	50	FN46	0.0	498.3	0.0	None	None
59	36	FN50	0.0	FN54	0.0	None	None
30	33	442.05	72.85	FN32	0.0	-0.60588096197	1.0
31	35	FN40	0.0	FN38	0.0	None	None
33	34	FN32	0.0	531.95	55.65	-0.139539283389	1.0
30	72	442.05	72.85	FN53	0.0	0.647884481898	1.0
39	72	FN58	0.0	FN53	0.0	None	None
45	29	480.775	56.5518512075	401.55	68.55	1.228221161	1.0
29	72	401.55	68.55	FN53	0.0	0.347420840322	1.0
33	50	FN32	0.0	498.3	0.0	None	None
30	35	442.05	72.85	FN38	0.0	0.661357309044	1.0
47	72	590.166666667	42.6619528646	FN53	0.0	3.80995870687	1.0
31	29	FN40	0.0	401.55	68.55	1.0262601065	1.0
30	29	442.05	72.85	401.55	68.55	0.404874002572	1.0
39	31	FN58	0.0	FN40	0.0	None	None
41	49	FN44	0.0	FN46	0.0	None	None
35	72	FN38	0.0	FN53	0.0	None	None
49	61	FN46	0.0	FN36	0.0	None	None
31	45	FN40	0.0	480.775	56.5518512075	0.5838391197	1.0
60	36	FN60	0.0	FN54	0.0	None	None
35	60	FN38	0.0	FN60	0.0	None	None
42	72	494.95	49.55	FN53	0.0	1.56892459629	1.0
47	36	590.166666667	42.6619528646	FN54	0.0	2.91161287489	1.0
39	47	FN58	0.0	590.166666667	42.6619528646	-1.56243666227	1.0
22	31	FN39	0.0	FN40	0.0	None	None
47	60	590.166666667	42.6619528646	FN60	0.0	4.41659076316	1.0
59	43	FN50	0.0	521.7	24.1	-3.72522684062	1.0
39	29	FN58	0.0	401.55	68.55	0.794646212955	1.0
47	45	590.166666667	42.6619528646	480.775	56.5518512075	2.37054816336	1.0
43	60	521.7	24.1	FN60	0.0	4.74337565558	1.0
22	43	FN39	0.0	521.7	24.1	-1.41103447532	1.0
41	47	FN44	0.0	590.166666667	42.6619528646	-0.713814769327	1.0
33	61	FN32	0.0	FN36	0.0	None	None
36	72	FN54	0.0	FN53	0.0	None	None
61	34	FN36	0.0	531.95	55.65	-1.16040660573	1.0
43	50	521.7	24.1	498.3	0.0	0.560580759296	1.0
49	35	FN46	0.0	FN38	0.0	None	None
41	29	FN44	0.0	401.55	68.55	1.22586917112	1.0
29	36	401.55	68.55	FN54	0.0	-0.109069088053	1.0
39	60	FN58	0.0	FN60	0.0	None	None
35	36	FN38	0.0	FN54	0.0	None	None
61	36	FN36	0.0	FN54	0.0	None	None
49	45	FN46	0.0	480.775	56.5518512075	-0.568087448435	1.0
41	42	FN44	0.0	494.95	49.55	0.607645136998	1.0
35	61	FN38	0.0	FN36	0.0	None	None
59	22	FN50	0.0	FN39	0.0	None	None
29	50	401.55	68.55	498.3	0.0	-0.814859789119	1.0
42	36	494.95	49.55	FN54	0.0	0.937393121217	1.0
49	36	FN46	0.0	FN54	0.0	None	None
36	50	FN54	0.0	498.3	0.0	None	None
43	35	521.7	24.1	FN38	0.0	3.90729580518	1.0
22	36	FN39	0.0	FN54	0.0	None	None
39	41	FN58	0.0	FN44	0.0	None	None
47	42	590.166666667	42.6619528646	494.95	49.55	1.77404124695	1.0
30	43	442.05	72.85	521.7	24.1	-1.0380167674	1.0
